t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,ref_pulse,out_pulse,meas_pulse,cte_integral,cte_i_term_deg,goal_phase,cb_state,cb_v0_ms,cb_v_corner_ms,encoder_sum,speed_kmh,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,drive_cmd,drive_event,tl_state,tl_near_metric,tl_red_far,sl_y,sl_wait,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,gps_lat,gps_lon,gps_quality,gps_sigma_m,gps_pos_ok,gps_is_raw,gps_raw_age_s,gps_dr_dist_m,gps_kmh,gps_fix_course_deg,gps_mode,gps_reject_n,gps_resid_m,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1787052331.089235,0.008,0.0,0.0,0,0,77091.24111190786,-59268.71085747862,0.0,0.0,0.0,383.0,0.0,0.8339415413718206,0.8787613038096161,382.0,0.9182690551089114,25.067738127590104,140.68367605635052,-0.3239266594944951,0.22900000000000004,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,route_20260812_162235.csv | DRIVE_START,prompt 에서 1)매핑 또는 2)주행 선택 — 스위치는 취소·정리만 한다 | 주행모드 최초 인식: 수동조종 | 📁 경로 선택: route_20260812_162235.csv (WP 383개) — 스위치를 자율로 올리면 출발 | 📁 경로 선택: route_20260812_162235.csv (WP 383개) — 스위치를 자율로 올리면 출발 | 📁 경로 선택: route_20260812_162235.csv (WP 383개) — 스위치를 자율로 올리면 출발 | 📁 경로 선택: route_20260812_162235.csv (WP 383개) — 스위치를 자율로 올리면 출발 | ▶ 주행 시작(prompt) [route_20260812_162235.csv] | ▶ 주행 시작(prompt) [route_20260812_162235.csv] | ▶ 주행 시작(prompt) [route_20260812_162235.csv] | ▶ 주행 시작(prompt) [route_20260812_162235.csv] | ⚠️ 출발 GPS : DGPS σ=0.14m — RTK Fixed 가 아니다. 추종오차가 좌표오차에 묻힐 수 있다 | ⚠️ 출발 GPS : DGPS σ=0.14m — RTK Fixed 가 아니다. 추종오차가 좌표오차에 묻힐 수 있다 | ⚠️ 출발 GPS : DGPS σ=0.14m — RTK Fixed 가 아니다. 추종오차가 좌표오차에 묻힐 수 있다 | ⚠️ 출발 GPS : DGPS σ=0.14m — RTK Fixed 가 아니다. 추종오차가 좌표오차에 묻힐 수 있다,UNKNOWN,0.0,False,-1.0,False,36.96758011166666,127.87290538333333,123.222,1,0.0032489999999999993,36.96758011166666,127.87290538333333,2.0,0.14686485004425048,0.0,0.0,0.17972970008850098,0.0,0.10080281629144738,38.326786453117634,0.0,9.0,0.0,-0.00487140213284961,-0.013119232144943684,0.3130341413637144,0.94963876370432,0.004014257279586958,-0.004572762640225144,0.003996803987067015,0.22555294999999997,-0.196133,9.79684335
1787052331.139233,0.058,0.0,0.0,0,0,77091.23537138848,-59268.70863108861,0.0,0.0,0.0,383.0,0.0,0.8349064282251589,0.8787613038096161,382.0,0.9182690551089114,25.06174849710016,140.68367605635052,-0.3239266594944951,-0.423,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.967580131666665,127.87290531833334,123.213,1,0.0032489999999999993,36.967580131666665,127.87290531833334,2.0,0.056999999999999995,0.0,1.0,0.0,0.0,0.0601525702701127,38.326786453117634,0.0,9.0,0.0,-0.0048495903347306295,-0.013130257307810925,0.3130175916194329,0.949644178181168,-0.004276056667386108,-0.0049741883681838385,-0.007382742735936014,0.16671305,-0.17651969999999997,9.7870367
1787052331.189194,0.108,0.0,0.0,0,0,77091.23537138848,-59268.70863108861,0.0,0.0,0.0,383.0,0.0,0.8349064282251589,0.8787613038096161,382.0,0.9182690551089114,25.06174849710016,140.68367605635052,-0.3239266594944951,0.064,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.967580131666665,127.87290531833334,123.213,1,0.0032489999999999993,36.967580131666665,127.87290531833334,2.0,0.09294052791595458,0.0,0.0,0.07188105583190918,0.0,0.06015401272632796,38.326786453117634,0.0,9.0,0.0,-0.004835978016856177,-0.013116423027182442,0.3130013482863737,0.9496497926785983,-0.00445058959258554,-0.000593411945678072,0.001117010721276371,0.24516625,-0.2353596,9.738003449999999
1787052331.239229,0.158,0.0,0.0,0,0,77091.23537138848,-59268.70863108861,0.0,0.0,0.0,383.0,0.0,0.8349064282251589,0.8787613038096161,382.0,0.9182690551089114,25.06174849710016,140.68367605635052,-0.3239266594944951,0.045,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.967580131666665,127.87290531833334,123.213,1,0.0032489999999999993,36.967580131666665,127.87290531833334,2.0,0.11788912487030029,0.0,0.0,0.12177824974060059,0.0,0.06015401272632796,38.326786453117634,0.0,9.0,0.0,-0.004855056686678418,-0.013113683931780619,0.31301779591754314,0.9496443119174831,-0.004468042885105484,-0.003490658503988659,0.0007853981633974482,0.196133,-0.18632634999999997,9.747810099999999
1787052331.289241,0.208,0.0,0.0,0,0,77091.23537138848,-59268.70863108861,0.0,0.0,0.0,383.0,0.0,0.8349064282251589,0.8787613038096161,382.0,0.9182690551089114,25.06174849710016,140.68367605635052,-0.3239266594944951,-0.089,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.967580131666665,127.87290531833334,123.213,1,0.0032489999999999993,36.967580131666665,127.87290531833334,2.0,0.14287646484375,0.0,0.0,0.1717529296875,0.0,0.06015401272632796,38.326786453117634,0.0,9.0,0.0,-0.004858018593689581,-0.013105312455843624,0.31300132356203636,0.9496498417254602,0.004276056667386108,0.0065275314024587925,-0.0015533430342749533,0.14709974999999997,-0.1569064,9.80665
1787052331.339204,0.258,0.0,0.0,0,0,77091.23331068826,-59268.71289833571,0.0,0.0,0.0,383.0,0.0,0.8303004223354663,0.8787613038096161,382.0,0.9182690551089114,25.060286485114855,140.68367605635052,-0.3239266594944951,0.511,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96758009333333,127.872905295,123.19,1,0.0032489999999999993,36.96758009333333,127.872905295,2.0,0.0721841640472412,0.0,0.0,0.030368328094482422,0.0,0.07268610655402505,38.326786453117634,0.0,9.0,0.0,-0.004860751624108588,-0.013097025717630486,0.31300142565033345,0.9496499084146006,-0.0037524578917878084,0.0068591439603377154,0.008918632477691025,0.14709974999999997,-0.24516625,9.738003449999999
1787052331.389209,0.308,0.0,0.0,0,0,77091.23331068826,-59268.71289833571,0.0,0.0,0.0,383.0,0.0,0.8303004223354663,0.8787613038096161,382.0,0.9182690551089114,25.060286485114855,140.68367605635052,-0.3239266594944951,-0.191,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96758009333333,127.872905295,123.19,1,0.0032489999999999993,36.96758009333333,127.872905295,2.0,0.0971846170425415,0.0,0.0,0.08036923408508301,0.0,0.07268610655402505,38.326786453117634,0.0,9.0,0.0,-0.004885613398904639,-0.01310522007130282,0.31300108266373805,0.9496497808349808,-0.005969026041820607,-0.00757472895365539,-0.0033335788713091696,0.1372931,-0.16671305,9.80665
1787052331.439220,0.358,0.0,0.0,0,0,77091.23331068826,-59268.71289833571,0.0,0.0,0.0,383.0,0.0,0.8303004223354663,0.8787613038096161,382.0,0.9182690551089114,25.060286485114855,140.68367605635052,-0.3239266594944951,0.228,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96758009333333,127.872905295,123.19,1,0.0032489999999999993,36.96758009333333,127.872905295,2.0,0.12221093845367431,0.0,0.0,0.13042187690734863,0.0,0.07268610655402505,38.326786453117634,0.0,9.0,0.0,-0.004880059172221613,-0.01309420188364854,0.31300129922553105,0.9496498900029607,0.0033161255787892262,0.00778416846389471,0.003979350694547071,0.25497289999999995,-0.17651969999999997,9.7870367
1787052331.489187,0.408,0.0,0.0,0,0,77091.23331068826,-59268.71289833571,0.0,0.0,0.0,383.0,0.0,0.8303004223354663,0.8787613038096161,382.0,0.9182690551089114,25.060286485114855,140.68367605635052,-0.3239266594944951,0.19,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96758009333333,127.872905295,123.19,1,0.0032489999999999993,36.96758009333333,127.872905295,2.0,0.14719970893859863,0.0,0.0,0.18039941787719727,0.0,0.07268610655402505,38.326786453117634,0.0,9.0,0.0,-0.004850048664219307,-0.013130088017174121,0.312984442593475,0.9496551039777902,0.0023387411976724015,0.0037524578917878084,0.0033161255787892262,0.12748644999999997,-0.17651969999999997,9.845876599999999
1787052331.539199,0.458,0.0,0.0,0,0,77091.2287477115,-59268.71586685571,0.0,0.0,0.0,383.0,0.0,0.8264358661389303,0.8787613038096161,382.0,0.9182690551089114,25.056169560849337,140.68367605635052,-0.3239266594944951,-0.127,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,0.0,0.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,0,0.0,-2,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96758006666666,127.87290524333334,123.191,1,0.0032489999999999993,36.96758006666666,127.87290524333334,2.0,0.07201309871673583,0.0,0.0,0.03002619743347168,0.0,0.09015605619164385,38.326786453117634,0.0,9.0,0.0,-0.0048581067565187375,-0.013132904113148085,0.31300090255983637,0.9496495988652999,0.001064650843716541,0.004677482395344803,-0.0022165681500327986,0.30400615,-0.25497289999999995,9.77723005
