t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,brake_pot,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,ref_pulse,out_pulse,meas_pulse,cte_integral,cte_i_term_deg,goal_phase,cb_state,cb_v0_ms,cb_v_corner_ms,goal_need_m,lidar_zone,rejoin,encoder_sum,encoder_l,encoder_r,speed_kmh,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,cone_stop,cone_dist_m,aeb_stop,lstatus,drive_cmd,drive_event,tl_permit,tl_req,tl_state,tl_near_metric,tl_red_far,sl_bev_y,sl_px,sl_y,sl_wait,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,gps_lat,gps_lon,gps_quality,gps_sigma_m,gps_pos_ok,gps_is_raw,gps_raw_age_s,gps_dr_dist_m,gps_kmh,gps_fix_course_deg,gps_mode,gps_reject_n,gps_resid_m,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1789046522.383796,0.005,0.0,0.0,0,0,188,-1.3447953579730887,0.19981848550107179,0.0,0.0,0.0,107.0,1.0,-0.8400501604413605,1.383062499212095,106.0,0.9736489536279139,38.90477222512447,171.68856516081706,-0.07460677619802994,0.2008905535706063,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.0,-3,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,route_20260910_102030.csv | DRIVE_START,📁 경로 선택: route_20260910_102030.csv (WP 107개) — 스위치를 자율로 올리면 출발 | ⏸️ 일시정지 지점 1곳 — WP 63 (terrain 열의 'S') | 🚦 신호등 구간 없음 (terrain 열에 'T' 가 없다) — ★이 경로에서는 신호등 개입이 전혀 없다★ | 🛰️ 라이다 구간 없음 — 전 구간 GPS 추종 (terrain 열에 'L' 이 없다) | ▶ 주행 시작(prompt) [route_20260910_102030.csv] | 📶 출발 GPS : RTK_FIXED σ=0.034m,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.967667041666665,127.87359113833334,121.855,2,0.00017956000000000002,36.967667041666665,127.87359113833334,4.0,0.059190314674377444,1.0,0.0,0.09158062934875488,0.0,0.0730715811310283,171.68856516081706,0.0,0.0,0.0,-0.41137460787497593,0.2640744401271128,0.767942092449386,0.4138847239410033,-0.000767944870877505,-0.0026354471705114374,0.009948376736367677,-8.208166049999999,0.6962721499999999,5.0602314
1789046522.433839,0.055,0.0,0.0,0,0,187,-1.3447953579730887,0.19981848550107179,0.0,0.0,0.0,107.0,1.0,-0.8400501604413605,1.383062499212095,106.0,0.9736489536279139,38.90477222512447,171.68856516081706,-0.07460677619802994,-0.22209586544363846,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.06725957244634628,-3,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.967667041666665,127.87359113833334,121.855,2,0.00017956000000000002,36.967667041666665,127.87359113833334,4.0,0.08419815864562988,1.0,0.0,0.14159631729125977,0.0,0.0730715811310283,171.68856516081706,0.0,0.0,0.0,-0.41139623478155724,0.26413516276005594,0.7679202707563764,0.4138649677886861,0.025778513051956248,0.008674286382411817,-0.0021118483949131386,-8.44352565,0.4118793,5.962443199999999
1789046522.483801,0.105,0.0,0.0,0,0,188,-1.3447953579730887,0.19981848550107179,0.0,0.0,0.0,107.0,1.0,-0.8400501604413605,1.383062499212095,106.0,0.9736489536279139,38.90477222512447,171.68856516081706,-0.07460677619802994,0.04581232628724881,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.11958341300487518,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.967667041666665,127.87359113833334,121.855,2,0.00017956000000000002,36.967667041666665,127.87359113833334,4.0,0.10920576419830322,1.0,0.0,0.19161152839660645,0.0,0.0730715811310283,171.68856516081706,0.0,0.0,0.0,-0.41131340160015095,0.26415048795015594,0.7679027744195168,0.4139699680153336,0.0028623399732707008,-0.003298672286269283,0.0025656340004316645,-7.58054045,0.1372931,5.099458
1789046522.533893,0.155,0.0,0.0,0,0,188,-1.3473153668035323,0.2027870055011755,0.0,0.0,0.0,107.0,1.0,-0.8376931770100866,1.383062499212095,106.0,0.9736489536279139,38.90771941204629,171.68856516081706,-0.07460677619802994,0.10859470163467434,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.0746244266629219,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.967667068333334,127.87359111,121.85600000000001,2,0.00017956000000000002,36.967667068333334,127.87359111,4.0,0.03445522155761719,1.0,0.0,0.042110443115234375,0.0,0.05679003696298705,171.68856516081706,0.0,0.0,0.0,-0.4112284724238478,0.264239873345182,0.7678694664110343,0.414059072302618,0.0068591439603377154,0.0037524578917878084,0.003665191429188092,-8.0806796,0.6668522,4.93274495
1789046522.583865,0.205,0.0,0.0,0,0,188,-1.3473153668035323,0.2027870055011755,0.0,0.0,0.0,107.0,1.0,-0.8376931770100866,1.383062499212095,106.0,0.9736489536279139,38.90771941204629,171.68856516081706,-0.07460677619802994,0.15129151223140497,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.13386733829975128,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.967667068333334,127.87359111,121.85600000000001,2,0.00017956000000000002,36.967667068333334,127.87359111,4.0,0.05943421688079834,1.0,0.0,0.09206843376159668,0.0,0.05679003696298705,171.68856516081706,0.0,0.0,0.0,-0.4112899174150266,0.2643769566707254,0.7678163843930471,0.414008971487158,0.015044738152191121,0.005288347633542819,0.0044156830075456534,-8.3748791,0.4118793,6.03108975
1789046522.633844,0.255,0.0,0.0,0,0,188,-1.3473153668035323,0.2027870055011755,0.0,0.0,0.0,107.0,1.0,-0.8376931770100866,1.383062499212095,106.0,0.9736489536279139,38.90771941204629,171.68856516081706,-0.07460677619802994,-0.12545707079305782,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.1387864053249359,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.967667068333334,127.87359111,121.85600000000001,2,0.00017956000000000002,36.967667068333334,127.87359111,4.0,0.08443967666625976,1.0,0.0,0.14207935333251953,0.0,0.05679003696298705,171.68856516081706,0.0,0.0,0.0,-0.41131937220354076,0.264405091605594,0.7678015518612665,0.4139892493079424,0.002722713633111154,0.001413716694115407,-0.0004188790204786391,-8.34545915,0.4903325,5.4328841
1789046522.683840,0.305,0.0,0.0,0,0,188,-1.3473153668035323,0.2027870055011755,0.0,0.0,0.0,107.0,1.0,-0.8376931770100866,1.383062499212095,106.0,0.9736489536279139,38.90771941204629,171.68856516081706,-0.07460677619802994,-0.0802961566514717,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.18815532326698303,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.967667068333334,127.87359111,121.85600000000001,2,0.00017956000000000002,36.967667068333334,127.87359111,4.0,0.10942963924407959,1.0,0.0,0.19205927848815918,0.0,0.05679003696298705,171.68856516081706,0.0,0.0,0.0,-0.41130365148002423,0.26447672108481973,0.7677490753044361,0.41405643051715074,0.020507618710933373,-0.00017453292519943296,0.0003665191429188092,-8.28661925,0.40207265,5.746696899999999
1789046522.733870,0.355,0.0,0.0,0,0,188,-1.3456847735979127,0.19722103050098105,0.0,0.0,0.0,107.0,1.0,-0.8427781271534256,1.383062499212095,106.0,0.9736489536279139,38.905251112019045,171.68856516081706,-0.07460677619802994,-0.14700156433816874,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.20314450562000275,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.96766701833333,127.87359112833333,121.85900000000001,2,0.00017956000000000002,36.96766701833333,127.87359112833333,4.0,0.034697335624694826,1.0,0.0,0.04259467124938965,0.0,0.024769256157236075,171.68856516081706,0.0,0.0,0.0,-0.4112447136552618,0.26454916571119086,0.7677133359740052,0.4141349516519692,0.013735741213195374,0.0061959188445798695,-0.0008028514559173916,-8.18855275,0.5295591,5.521143949999999
1789046522.783877,0.405,0.0,0.0,0,0,188,-1.3456847735979127,0.19722103050098105,0.0,0.0,0.0,107.0,1.0,-0.8427781271534256,1.383062499212095,106.0,0.9736489536279139,38.905251112019045,171.68856516081706,-0.07460677619802994,-0.37924156120949243,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.18628105521202087,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.96766701833333,127.87359112833333,121.85900000000001,2,0.00017956000000000002,36.96766701833333,127.87359112833333,4.0,0.05967490043640137,1.0,0.0,0.09254980087280273,0.0,0.024769256157236075,171.68856516081706,0.0,0.0,0.0,-0.4112224348285974,0.2646085325917633,0.7676970777257031,0.41414928519157157,0.0030368728984701333,0.008552113334772215,-0.00486946861306418,-8.217972699999999,0.6668522,5.4034641500000005
1789046522.833834,0.455,0.0,0.0,0,0,188,-1.3456847735979127,0.19722103050098105,0.0,0.0,0.0,107.0,1.0,-0.8427781271534256,1.383062499212095,106.0,0.9736489536279139,38.905251112019045,171.68856516081706,-0.07460677619802994,0.37800092191292656,0.0,-10.636846934953828,1.0633610474367778,0.00480106486056087,1.0775117471258149,0.0,0.0,1.4092624651738614,0.0,0.0,0.0,0.0,0.0,2.05459458897706,0.5,,,0,0,0,0.17936155200004578,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,36.96766701833333,127.87359112833333,121.85900000000001,2,0.00017956000000000002,36.96766701833333,127.87359112833333,4.0,0.084674995803833,1.0,0.0,0.14254999160766602,0.0,0.024769256157236075,171.68856516081706,0.0,0.0,0.0,-0.4112001564830982,0.26466789808475016,0.7676808143015993,0.4141636178914186,0.01101302758008422,0.00926769832808989,0.008360127117052838,-8.316039199999999,0.5687857,5.42307745
