t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,brake_pot,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,ref_pulse,out_pulse,meas_pulse,cte_integral,cte_i_term_deg,goal_phase,cb_state,cb_v0_ms,cb_v_corner_ms,goal_need_m,lidar_zone,rejoin,encoder_sum,encoder_l,encoder_r,speed_kmh,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,cone_stop,cone_dist_m,aeb_stop,ld_y,ld_yaw_deg,ld_road_deg,ld_pot_deg,ld_pulse,ld_avg_cost,ld_gps_ref,ld_obs_x,ld_obs_y,lstatus,drive_cmd,drive_event,tl_permit,tl_req,tl_state,tl_near_metric,tl_red_far,sl_bev_y,sl_px,sl_y,sl_wait,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,gps_lat,gps_lon,gps_quality,gps_sigma_m,gps_pos_ok,gps_is_raw,gps_raw_age_s,gps_dr_dist_m,gps_kmh,gps_fix_course_deg,gps_mode,gps_reject_n,gps_resid_m,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1789053017.782810,0.033,0.0,0.0,0,0,186,0.01689888225360995,-0.002597455000090756,0.0,0.0,0.0,107.0,1.0,-0.13362622087890824,0.0,0.0,0.0,39.53545611101107,nan,0.0,0.04506923506571543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.0,-4,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,route_20260910_102050.csv | DRIVE_START,white1 driving 준비 — 경로 폴더 /home/mad1/gold/gold_ws/src/white1/gps_data | prompt 에서 1)매핑 또는 2)주행 선택 — 스위치는 취소·정리만 한다 | 주행모드 최초 인식: 수동조종 | 📁 경로 선택: route_20260910_102050.csv (WP 107개) — 스위치를 자율로 올리면 출발 | ⏸️ 일시정지 지점 없음 (terrain 열에 'S' 가 없다) | 🚦 신호등 구간 없음 (terrain 열에 'T' 가 없다) — ★이 경로에서는 신호등 개입이 전혀 없다★ | 🛞 라이다 구간 1곳 / WP 32개 (49~80) — terrain 열의 'L' | ▶ 주행 시작(prompt) [route_20260910_102050.csv] | 📶 출발 GPS : RTK_FIXED σ=0.029m,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674136666666,127.87358541666667,121.756,2,0.00017424000000000004,36.967674136666666,127.87358541666667,4.0,0.053609922599792484,1.0,0.0,0.08081984519958496,0.0,0.021382223928095863,nan,0.0,0.0,0.0,0.29455265317140805,0.38833993822354307,-0.47613742214823696,0.731931678587729,-0.010000736613927507,-0.016650441064025905,0.008080874436733746,-8.119906199999999,0.8924051499999999,4.648352099999999
1789053017.832783,0.083,0.0,0.0,0,0,186,0.01689888225360995,-0.002597455000090756,0.0,0.0,0.0,107.0,1.0,-0.13362622087890824,0.0,0.0,0.0,39.53545611101107,nan,0.0,0.44916909659558396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.08071956783533096,-3,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674136666666,127.87358541666667,121.756,2,0.00017424000000000004,36.967674136666666,127.87358541666667,4.0,0.07859905071258545,1.0,0.0,0.1307981014251709,0.0,0.021382223928095863,nan,0.0,0.0,0.0,0.29456685122086806,0.3883582815477841,-0.47612899033666756,0.7319217170408735,-0.011658799403322121,-0.006492624817418906,0.0026354471705114374,-8.208166049999999,0.65704555,4.40318585
1789053017.882781,0.133,0.0,0.0,0,0,186,0.01689888225360995,-0.002597455000090756,0.0,0.0,0.0,107.0,1.0,-0.13362622087890824,0.0,0.0,0.0,39.53545611101107,nan,0.0,0.13689475840239282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.1325746774673462,-3,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674136666666,127.87358541666667,121.756,2,0.00017424000000000004,36.967674136666666,127.87358541666667,4.0,0.10359998054504395,1.0,0.0,0.1807999610900879,0.0,0.021382223928095863,nan,0.0,0.0,0.0,0.2945249714309713,0.3883600747735508,-0.47620613051111127,0.7318874331405766,-0.0030368728984701333,-0.010053096491487338,-0.007871434926494426,-8.227779349999999,0.392266,4.6287388
1789053017.932792,0.183,0.0,0.0,0,0,186,0.011414157422520272,0.004823844209195991,0.0,0.0,0.0,107.0,1.0,-0.1267998540733872,0.0,0.0,0.0,39.5421329850001,nan,0.0,-0.464175031114412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.10825066268444061,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.96767420333333,127.873585355,121.755,2,0.00017424000000000004,36.96767420333333,127.873585355,4.0,0.013200000000000002,1.0,1.0,0.0,0.0,0.07566737309011919,nan,0.0,0.0,0.0,0.294538181336052,0.3883405817243957,-0.4762398775335355,0.7318705017747689,-0.011641346110802179,-0.007347836150896127,-0.0014660765716752368,-8.227779349999999,0.7256921,5.0798447
1789053017.982780,0.233,0.0,0.0,0,0,186,0.011414157422520272,0.004823844209195991,0.0,0.0,0.0,107.0,1.0,-0.1267998540733872,0.0,0.0,0.0,39.5421329850001,nan,0.0,-0.09698068105218315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.08235546201467514,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.96767420333333,127.873585355,121.755,2,0.00017424000000000004,36.96767420333333,127.873585355,4.0,0.0505525619506836,1.0,0.0,0.07470512390136719,0.0,0.07566737309011919,nan,0.0,0.0,0.0,0.2945249258071967,0.38837027160641646,-0.4761885461381073,0.7318934818247115,-0.008552113334772215,-0.013753194505715317,-0.006562437987498679,-8.36507245,0.57859235,5.22694445
1789053018.032792,0.283,0.0,0.0,0,0,186,0.011414157422520272,0.004823844209195991,0.0,0.0,0.0,107.0,1.0,-0.1267998540733872,0.0,0.0,0.0,39.5421329850001,nan,0.0,-0.38820271969007875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.08171109855175018,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.96767420333333,127.873585355,121.755,2,0.00017424000000000004,36.96767420333333,127.873585355,4.0,0.07555921382904053,1.0,0.0,0.12471842765808105,0.0,0.07566737309011919,nan,0.0,0.0,0.0,0.2945129802854056,0.38836641706095293,-0.4762181216566769,0.7318810908531744,-0.0025656340004316645,-0.01244419756671957,0.004258603374866164,-8.316039199999999,0.65704555,4.99158485
1789053018.082808,0.333,0.0,0.0,0,0,186,0.011414157422520272,0.004823844209195991,0.0,0.0,0.0,107.0,1.0,-0.1267998540733872,0.0,0.0,0.0,39.5421329850001,nan,0.0,0.2313336857493014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.0785147026181221,-1,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.96767420333333,127.873585355,121.755,2,0.00017424000000000004,36.96767420333333,127.873585355,4.0,0.10052366561889649,1.0,0.0,0.17464733123779297,0.0,0.07566737309011919,nan,0.0,0.0,0.0,0.2944846152520019,0.38831954404660457,-0.47625258135757315,0.7318949527367747,-0.0,-0.007714355293814937,0.003473205211468716,-8.34545915,0.65704555,5.03081145
1789053018.132788,0.383,0.0,0.0,0,0,186,0.01260004394080639,0.005380442104701717,0.0,0.0,0.0,107.0,1.0,-0.12612578025998308,0.0,0.0,0.0,39.541060270265874,nan,0.0,0.1859610183778028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.08296942710876465,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674208333335,127.87358536833334,121.762,2,0.00017424000000000004,36.967674208333335,127.87358536833334,4.0,0.013200000000000002,1.0,1.0,0.0,0.0,0.0786692990990305,nan,0.0,0.0,0.0,0.29448049751588146,0.3882895835603049,-0.47621968084251926,0.7319339119480753,-0.011309733552923256,-0.007051130178057092,0.012164944886400476,-8.325845849999999,0.6668522,4.962164899999999
1789053018.182805,0.433,0.0,0.0,0,0,186,0.01260004394080639,0.005380442104701717,0.0,0.0,0.0,107.0,1.0,-0.12612578025998308,0.0,0.0,0.0,39.541060270265874,nan,0.0,0.6825930963410471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.10376646369695663,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674208333335,127.87358536833334,121.762,2,0.00017424000000000004,36.967674208333335,127.87358536833334,4.0,0.046266034317016605,1.0,0.0,0.0661320686340332,0.0,0.0786692990990305,nan,0.0,0.0,0.0,0.294477793991252,0.3883348788867546,-0.4762222218250843,0.7319093155070753,-0.008691739674931762,-0.009913470151327791,0.0028099800957108708,-8.42391235,0.48052585,5.0013914999999995
1789053018.232844,0.483,0.0,0.0,0,0,186,0.01260004394080639,0.005380442104701717,0.0,0.0,0.0,107.0,1.0,-0.12612578025998308,0.0,0.0,0.0,39.541060270265874,nan,0.0,0.14629991014836508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.12917231023311615,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674208333335,127.87358536833334,121.762,2,0.00017424000000000004,36.967674208333335,127.87358536833334,4.0,0.07128746814727784,1.0,0.0,0.11617493629455566,0.0,0.0786692990990305,nan,0.0,0.0,0.0,0.2944298258476568,0.3883359567344385,-0.4762448702552021,0.7319133049166906,-0.006981317007977318,-0.010053096491487338,0.00034906585039886593,-8.3356525,0.6276256,4.8248717999999995
1789053018.282785,0.533,0.0,0.0,0,0,186,0.01260004394080639,0.005380442104701717,0.0,0.0,0.0,107.0,1.0,-0.12612578025998308,0.0,0.0,0.0,39.541060270265874,nan,0.0,0.005289310328068356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.1634109914302826,-2,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674136666666,127.87358540833333,121.759,2,0.00017424000000000004,36.967674136666666,127.87358540833333,4.0,0.013200000000000002,1.0,1.0,0.0,0.0,0.08097924830947725,nan,0.0,0.0,0.0,0.29445637194147095,0.38835716006708665,-0.47621623809338404,0.7319100052765222,-0.011833332328521556,-0.00614355896702004,0.0036302848441482054,-8.4729456,0.65704555,4.8444851
1789053018.332851,0.583,0.0,0.0,0,0,186,0.016157702231730273,-0.002597455000090756,0.0,0.0,0.0,107.0,1.0,-0.1337014394683518,0.0,0.0,0.0,39.5361863071257,nan,0.0,0.1929027317074122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.1560218334197998,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674136666666,127.87358540833333,121.759,2,0.00017424000000000004,36.967674136666666,127.87358540833333,4.0,0.02979023761749268,1.0,0.0,0.03318047523498535,0.0,0.08097924830947725,nan,0.0,0.0,0.0,0.29446389198328293,0.3883359463481184,-0.4762048731787665,0.7319256300012753,-0.0073129295658562405,-0.011501719770642632,-0.0013439035240356337,-8.404299049999999,0.73549875,5.07003805
1789053018.382797,0.633,0.0,0.0,0,0,186,0.016157702231730273,-0.002597455000090756,0.0,0.0,0.0,107.0,1.0,-0.1337014394683518,0.0,0.0,0.0,39.5361863071257,nan,0.0,-0.0919130737560026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.1512523889541626,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674136666666,127.87358540833333,121.759,2,0.00017424000000000004,36.967674136666666,127.87358540833333,4.0,0.054798916053771976,1.0,0.0,0.08319783210754395,0.0,0.08097924830947725,nan,0.0,0.0,0.0,0.2944287167671372,0.38828010112816785,-0.476183639464742,0.7319832206525427,-0.004136430327226561,-0.003787364476827695,0.006579891280018622,-8.316039199999999,0.6080123,5.0406181
1789053018.432785,0.683,0.0,0.0,0,0,186,0.016157702231730273,-0.002597455000090756,0.0,0.0,0.0,107.0,1.0,-0.1337014394683518,0.0,0.0,0.0,39.5361863071257,nan,0.0,0.3613627523915094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.16493704915046692,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,0,,,False,0,,,,-9999.0,-1.0,-1.0,False,36.967674136666666,127.87358540833333,121.759,2,0.00017424000000000004,36.967674136666666,127.87358540833333,4.0,0.07977600402832032,1.0,0.0,0.13315200805664062,0.0,0.08097924830947725,nan,0.0,0.0,0.0,0.2944230647020532,0.388292485104949,-0.4761814382307366,0.7319803568860169,-0.009215338450530061,-0.009808750396208134,0.0016580627893946131,-8.3748791,0.6668522,4.93274495
