t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,brake_pot,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,ref_pulse,out_pulse,meas_pulse,cte_integral,cte_i_term_deg,goal_phase,cb_state,cb_v0_ms,cb_v_corner_ms,goal_need_m,lidar_zone,rejoin,encoder_sum,encoder_l,encoder_r,speed_kmh,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,cone_stop,cone_dist_m,aeb_stop,ld_y,ld_yaw_deg,ld_road_deg,ld_pot_deg,ld_pulse,ld_avg_cost,ld_gps_ref,ld_obs_x,ld_obs_y,ld_target_y,ld_n_cones,lstatus,drive_cmd,drive_event,tl_permit,tl_req,tl_state,tl_near_metric,tl_red_far,sl_bev_y,sl_px,sl_y,sl_wait,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,gps_lat,gps_lon,gps_quality,gps_sigma_m,gps_pos_ok,gps_is_raw,gps_raw_age_s,gps_dr_dist_m,gps_kmh,gps_fix_course_deg,gps_mode,gps_reject_n,gps_resid_m,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1789176995.057565,0.038,0.0,0.0,0,0,187,-40.16512870825016,6.836872059693506,0.0,0.0,0.0,3230.0,1.0,1.437383414069128,0.0,0.0,0.0,7.953336862309928,nan,0.0,-0.263762303603964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.0,-5,175,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,route_20200101_111111.csv | DRIVE_START,📶 GPS 품질 ↘ 저하 : RTK_FIXED → SPS (σ=1.92m) | 🚨 E-STOP — 새 시작만 막힌다(진행 중인 매핑·정리는 그대로) | ✅ E-STOP 해제 | 🚨 E-STOP — 새 시작만 막힌다(진행 중인 매핑·정리는 그대로) | ✅ E-STOP 해제 | 📶 GPS 품질 ↗ 회복 : SPS → DGPS (σ=0.05m) | 🚨 E-STOP — 새 시작만 막힌다(진행 중인 매핑·정리는 그대로) | ✅ E-STOP 해제 | 🚨 E-STOP — 새 시작만 막힌다(진행 중인 매핑·정리는 그대로) | ✅ E-STOP 해제 | 🚨 E-STOP — 새 시작만 막힌다(진행 중인 매핑·정리는 그대로) | ✅ E-STOP 해제 | 🚨 E-STOP — 새 시작만 막힌다(진행 중인 매핑·정리는 그대로) | ✅ E-STOP 해제 | 🚨 E-STOP — 새 시작만 막힌다(진행 중인 매핑·정리는 그대로) | ✅ E-STOP 해제 | 🚨 E-STOP — 새 시작만 막힌다(진행 중인 매핑·정리는 그대로) | ✅ E-STOP 해제 | 📁 경로 선택: route_20200101_111111.csv (WP 3230개) — 스위치를 자율로 올리면 출발 | ⏸️ 일시정지 지점 없음 (terrain 열에 'S' 가 없다) | 🚦 신호등 구간 없음 (terrain 열에 'T' 가 없다) — ★이 경로에서는 신호등 개입이 전혀 없다★ | 🛰️ 라이다 구간 없음 — 전 구간 GPS 추종 (terrain 열에 'L' 이 없다) | ▶ 주행 시작(prompt) [route_20200101_111111.csv] | ⚠️ 이 경로에는 차량 한계보다 급한 코너가 있다 — 요구 55.2° > 가능 31.7° (R≈0.87m < 2.02m). 더 넓게 다시 매핑할 것을 권한다 | ⚠️ 출발 GPS : DGPS σ=0.13m — RTK Fixed 가 아니다. 추종오차가 좌표오차에 묻힐 수 있다,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.238902125,126.77296010833334,31.458999999999996,1,0.002209,37.238902125,126.77296010833334,2.0,0.07920188617706299,1.0,0.0,0.06440377235412598,0.0,0.08725352112738301,24.390581375797037,0.0,0.0,0.0,0.4785042335621307,0.08711358888884953,-0.8518079144530483,0.19459752816819376,-0.008587019919812101,0.003735004599267865,0.0003141592653589793,-8.46313895,0.5197524499999999,4.3541526
1789176995.107650,0.088,0.0,0.0,0,0,188,-40.16512870825016,6.836872059693506,0.0,0.0,0.0,3230.0,1.0,1.437383414069128,0.0,0.0,0.0,7.953336862309928,nan,0.0,0.015207221003243895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.1285390406847,-5,176,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.238902125,126.77296010833334,31.458999999999996,1,0.002209,37.238902125,126.77296010833334,2.0,0.10419900131225586,1.0,0.0,0.11439800262451172,0.0,0.08725352112738301,24.390581375797037,0.0,0.0,0.0,0.478515523794437,0.08710346979666019,-0.8517974822084052,0.19461995874149066,-0.005270894341022875,-0.003926990816987242,0.0026005405854715507,-7.93357985,0.8433718999999998,4.05014645
1789176995.157554,0.138,0.0,0.0,0,0,184,-40.16512870825016,6.836872059693506,0.0,0.0,0.0,3230.0,1.0,1.437383414069128,0.0,0.0,0.0,7.953336862309928,nan,0.0,0.1459148065612374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.20011183619499207,-4,175,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.238902125,126.77296010833334,31.458999999999996,1,0.002209,37.238902125,126.77296010833334,2.0,0.12919969272613524,1.0,0.0,0.1643993854522705,0.0,0.08725352112738301,24.390581375797037,0.0,0.0,0.0,0.4785774977369269,0.08709037485684118,-0.8517439673651345,0.19470762523398324,0.0007330382858376184,0.01038470904936626,0.005044001538263612,-8.46313895,0.45110589999999995,4.50125235
1789176995.207554,0.188,0.0,0.0,0,0,188,-40.16512870825016,6.836872059693506,0.0,0.0,0.0,3230.0,1.0,1.437383414069128,0.0,0.0,0.0,7.953336862309928,nan,0.0,0.2853429769481149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.3647269606590271,-3,174,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.23890218333333,126.77296012833334,31.468999999999998,1,0.002209,37.23890218333333,126.77296012833334,2.0,0.047,1.0,1.0,0.0,0.0,0.07152981183029355,24.390581375797037,0.0,0.0,0.0,0.47855258420730934,0.08713098175362063,-0.8517474927633638,0.19473526834777455,-0.04796164784480418,-0.00986111027376796,0.006318091892219472,-8.070872949999998,0.0392266,3.5794272499999997
1789176995.257564,0.238,0.0,0.0,0,0,187,-40.16335623491412,6.8433656960072735,0.0,0.0,0.0,3230.0,1.0,1.4319872918482681,0.0,0.0,0.0,7.948677991236529,nan,0.0,0.3576262909942187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.3600734770298004,-2,175,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.23890218333333,126.77296012833334,31.468999999999998,1,0.002209,37.23890218333333,126.77296012833334,2.0,0.08206410121917725,1.0,0.0,0.07012820243835449,0.0,0.07152981183029355,24.390581375797037,0.0,0.0,0.0,0.4785422039663787,0.08710886866649613,-0.8517561604669988,0.1947327582333296,-0.005497787143782138,-0.005497787143782138,-0.005218534463463045,-8.3748791,0.40207265,5.0013914999999995
1789176995.307547,0.288,0.0,0.0,0,0,188,-40.16335623491412,6.8433656960072735,0.0,0.0,0.0,3230.0,1.0,1.4319872918482681,0.0,0.0,0.0,7.948677991236529,nan,0.0,-0.3027669615877697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.33404403924942017,-1,173,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.23890218333333,126.77296012833334,31.468999999999998,1,0.002209,37.23890218333333,126.77296012833334,2.0,0.10711903285980225,1.0,0.0,0.12023806571960449,0.0,0.07152981183029355,24.390581375797037,0.0,0.0,0.0,0.4785561808124878,0.08708021273409779,-0.8517577960111335,0.19470407106839333,0.0057421332390613445,-0.0037175513067479217,-0.0005061454830783556,-8.3748791,0.35303939999999995,5.1386845999999995
1789176995.357597,0.338,0.0,0.0,0,0,188,-40.16335623491412,6.8433656960072735,0.0,0.0,0.0,3230.0,1.0,1.4319872918482681,0.0,0.0,0.0,7.948677991236529,nan,0.0,-0.0327014276645942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.3686915934085846,-1,176,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.23890218333333,126.77296012833334,31.468999999999998,1,0.002209,37.23890218333333,126.77296012833334,2.0,0.13210923385620116,1.0,0.0,0.17021846771240234,0.0,0.07152981183029355,24.390581375797037,0.0,0.0,0.0,0.47857355402547247,0.08703669046599283,-0.8517609494757186,0.19466703071752442,0.0007504915783575617,-0.00010471975511965978,0.0023212879051524586,-8.26700595,0.4216859499999999,4.67777205
1789176995.407572,0.388,0.0,0.0,0,0,188,-40.16335623491412,6.8433656960072735,0.0,0.0,0.0,3230.0,1.0,1.4319872918482681,0.0,0.0,0.0,7.948677991236529,nan,0.0,0.12903997519073504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.3772689402103424,-2,175,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.23890213333333,126.77296013666667,31.476,1,0.002209,37.23890213333333,126.77296013666667,2.0,0.047,1.0,1.0,0.0,0.0,0.02442589821135647,24.390581375797037,0.0,0.0,0.0,0.47858067145980987,0.087016653784421,-0.8517464565993089,0.19472189537841209,-0.0032288591161895096,0.002722713633111154,-0.0023387411976724015,-8.2768126,0.53936575,4.8640984
1789176995.457572,0.438,0.0,0.0,0,0,188,-40.16261770467229,6.837799721798052,0.0,0.0,0.0,3230.0,1.0,1.4374367083084951,0.0,0.0,0.0,7.953831548308384,nan,0.0,-0.13768410475964651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.39694422483444214,-2,176,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.23890213333333,126.77296013666667,31.476,1,0.002209,37.23890213333333,126.77296013666667,2.0,0.08193630886077881,1.0,0.0,0.06987261772155762,0.0,0.02442589821135647,24.390581375797037,0.0,0.0,0.0,0.47862424338320914,0.08703373028608094,-0.8517178605203648,0.19473225081879175,-0.0043982297150257105,-0.007958701389094143,-0.004799655442984407,-8.502365549999999,0.3138128,4.9131316499999995
1789176995.507703,0.488,0.0,0.0,0,0,188,-40.16261770467229,6.837799721798052,0.0,0.0,0.0,3230.0,1.0,1.4374367083084951,0.0,0.0,0.0,7.953831548308384,nan,0.0,-0.2781267365501272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0,0,0.392572283744812,-2,176,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,,,,,,,,,,,,,0,,,False,0,UNKNOWN,0.0,False,-9999.0,-1.0,-1.0,False,37.23890213333333,126.77296013666667,31.476,1,0.002209,37.23890213333333,126.77296013666667,2.0,0.10693187427520752,1.0,0.0,0.11986374855041504,0.0,0.02442589821135647,24.390581375797037,0.0,0.0,0.0,0.47864877704656866,0.08702811074724101,-0.8517081897237291,0.1947167576997888,0.008970992355250854,-0.004171336912266448,-0.003193952531149623,-8.208166049999999,0.35303939999999995,4.89351835
