t_rel,t_wall,kind,i,x_m,y_m,cells,ego_y,ego_yaw_deg,target_y,n_ahead,lethal_cells,clusters_all,clusters_rej,lstatus
243.10,1789278270.752,none,-1,,,,,,,,,,,L
243.15,1789278270.801,none,-1,,,,,,,,,,,L
243.20,1789278270.852,none,-1,,,,0.0,0.0,0.0,0.0,4147.0,6.0,0.0,L
243.25,1789278270.901,none,-1,,,,-0.2905973858506268,0.0,0.0,0.0,4147.0,6.0,0.0,L
243.30,1789278270.952,none,-1,,,,-0.2905544424490405,0.0,0.0,0.0,3970.0,5.0,0.0,L
243.35,1789278271.001,none,-1,,,,-0.29150193219547393,0.0,0.0,0.0,3970.0,5.0,0.0,L
243.40,1789278271.052,none,-1,,,,-0.3023573680713244,0.0,0.0,0.0,3010.0,5.0,0.0,L
243.45,1789278271.101,none,-1,,,,-0.30821583888367954,-0.06589710650405999,0.0,0.0,2998.0,5.0,0.0,L
243.50,1789278271.152,none,-1,,,,-0.3127112223103347,-0.1655530978184562,0.0,0.0,2749.0,6.0,0.0,L
243.55,1789278271.201,none,-1,,,,-0.32013619256773657,-0.1655530978184562,0.0,0.0,2860.0,6.0,0.0,L
243.60,1789278271.252,none,-1,,,,-0.3245660999851604,-0.1655530978184562,0.0,0.0,2765.0,3.0,0.0,L
243.65,1789278271.302,none,-1,,,,-0.33001168693435684,-0.1655530978184562,0.0,0.0,3019.0,5.0,0.0,L
243.70,1789278271.351,none,-1,,,,-0.3381271999550798,-0.1655530978184562,0.0,0.0,2845.0,4.0,0.0,L
243.75,1789278271.401,none,-1,,,,-0.3578823361630032,0.009548616782978662,0.0,0.0,2846.0,3.0,0.0,L
243.80,1789278271.452,none,-1,,,,-0.3690221640676667,0.42139008820446494,0.0,0.0,2785.0,1.0,0.0,L
243.85,1789278271.501,none,-1,,,,-0.3839841840060232,0.9097621369134339,0.0,0.0,2964.0,2.0,0.0,L
243.90,1789278271.551,none,-1,,,,-0.38898884754318114,1.5155178939247302,0.0,0.0,3122.0,2.0,0.0,L
243.95,1789278271.602,none,-1,,,,-0.3961905996313844,2.20535098848805,0.0,0.0,3243.0,2.0,0.0,L
244.00,1789278271.651,none,-1,,,,-0.4090858860760113,2.926419267341838,0.0,0.0,3379.0,3.0,0.0,L
244.05,1789278271.701,none,-1,,,,-0.39794292701765105,3.6185991499187384,0.0,0.0,3508.0,2.0,0.0,L
244.10,1789278271.751,none,-1,,,,-0.39826128051930204,4.376072567049616,0.0,0.0,3548.0,2.0,0.0,L
244.15,1789278271.801,none,-1,,,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,0,0.000,0.000,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,1,0.128,0.002,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,2,0.252,0.008,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,3,0.384,0.018,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,4,0.509,0.029,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,5,0.635,0.041,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,6,0.765,0.054,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,7,0.901,0.069,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,8,1.022,0.079,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,9,1.147,0.090,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,10,1.266,0.100,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,11,1.387,0.112,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,12,1.506,0.128,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,13,1.624,0.147,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,14,1.757,0.173,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,15,1.873,0.197,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,16,1.990,0.224,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,17,2.106,0.255,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,18,2.223,0.290,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,19,2.352,0.336,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.15,1789278271.801,path,20,2.472,0.383,,-0.3986025475803269,5.113596935018354,0.0,0.0,3347.0,1.0,0.0,L
244.20,1789278271.851,none,-1,,,,-0.4004367879025572,5.890371899381585,0.0,0.0,3357.0,1.0,0.0,L
244.25,1789278271.901,none,-1,,,,-0.3591804769074787,6.679831564575667,0.0,0.0,3448.0,1.0,0.0,L
244.30,1789278271.951,none,-1,,,,-0.3524766123925571,7.469387899966737,0.0,0.0,3480.0,1.0,0.0,L
244.35,1789278272.001,none,-1,,,,-0.3425865080811541,8.269939200444187,0.0,0.0,3565.0,1.0,0.0,L
244.40,1789278272.051,none,-1,,,,-0.3311536650035621,9.070340473089002,0.0,0.0,3559.0,1.0,0.0,L
244.45,1789278272.101,none,-1,,,,-0.28111087519289035,9.872340431916083,0.0,0.0,3559.0,1.0,0.0,L
