latitude,longitude,heading,speed,steer,direction,pitch,terrain,lane_cte,lane_conf,lane_flags
37.23923635,126.77316154,59.80,0.0000,0.00,1,0.09,0.0,0.0000,0.000,0
37.23923829,126.77316296,59.80,0.5441,0.00,1,-0.12,0.0,0.0000,0.000,0
37.23924023,126.77316438,59.80,0.2827,0.00,1,-0.10,0.0,0.0000,0.000,0
37.23924217,126.77316580,59.72,0.4926,0.00,1,-0.11,0.0,0.0000,0.000,0
37.23924411,126.77316722,59.43,0.5655,0.00,1,-0.14,0.0,0.0000,0.000,0
37.23924605,126.77316865,59.13,0.5655,0.00,1,-0.18,0.0,0.0000,0.000,0
37.23924797,126.77317012,58.82,0.5655,0.00,1,-0.18,0.0,0.0000,0.000,0
37.23924988,126.77317159,58.60,0.6177,0.00,1,-0.20,0.0,0.0000,0.000,0
37.23925180,126.77317306,58.82,0.5655,0.00,1,-0.22,0.0,0.0000,0.000,0
37.23925372,126.77317453,59.35,0.5655,0.00,1,-0.25,0.0,0.0000,0.000,0
37.23925565,126.77317596,59.90,0.5655,0.00,1,-0.29,0.0,0.0000,0.000,0
37.23925761,126.77317734,60.43,0.6241,0.00,1,-0.31,0.0,0.0000,0.000,0
37.23925957,126.77317872,60.75,0.5655,0.00,1,-0.32,0.0,0.0000,0.000,0
37.23926153,126.77318009,60.76,0.8482,0.00,1,-0.36,0.0,0.0000,0.000,0
37.23926349,126.77318147,60.74,0.8482,0.00,1,-0.40,0.0,0.0000,0.000,0
37.23926545,126.77318285,60.71,0.8482,0.00,1,-0.42,0.0,0.0000,0.000,0
37.23926741,126.77318423,60.69,0.8482,0.00,1,-0.41,0.0,0.0000,0.000,0
37.23926936,126.77318561,60.67,0.8482,0.00,1,-0.39,0.0,0.0000,0.000,0
37.23927132,126.77318699,60.41,0.8482,0.00,1,-0.41,0.0,0.0000,0.000,0
37.23927328,126.77318838,60.07,0.8482,0.00,1,-0.41,0.0,0.0000,0.000,0
37.23927522,126.77318980,59.74,0.8482,0.00,1,-0.41,0.0,0.0000,0.000,0
37.23927715,126.77319124,59.41,0.8482,0.00,1,-0.40,0.0,0.0000,0.000,0
37.23927908,126.77319268,59.40,0.8482,0.00,1,-0.41,0.0,0.0000,0.000,0
37.23928101,126.77319412,60.32,0.8482,0.00,1,-0.42,0.0,0.0000,0.000,0
37.23928295,126.77319555,61.30,0.8482,0.00,1,-0.46,0.0,0.0000,0.000,0
37.23928495,126.77319683,62.28,0.6634,0.00,1,-0.48,0.0,0.0000,0.000,0
37.23928696,126.77319810,63.19,0.6127,0.00,1,-0.49,0.0,0.0000,0.000,0
37.23928896,126.77319937,63.25,0.7564,0.00,1,-0.48,0.0,0.0000,0.000,0
37.23929097,126.77320064,63.25,0.7915,0.00,1,-0.45,0.0,0.0000,0.000,0
37.23929297,126.77320191,63.24,0.8482,0.00,1,-0.45,0.0,0.0000,0.000,0
37.23929498,126.77320318,63.23,1.0578,0.00,1,-0.47,0.0,0.0000,0.000,0
37.23929698,126.77320445,63.23,0.8482,0.00,1,-0.47,0.0,0.0000,0.000,0
37.23929899,126.77320572,63.28,0.8482,0.00,1,-0.54,0.0,0.0000,0.000,0
37.23930099,126.77320699,63.40,0.8482,0.00,1,-0.60,0.0,0.0000,0.000,0
37.23930300,126.77320825,63.52,0.8482,0.00,1,-0.68,0.0,0.0000,0.000,0
37.23930501,126.77320950,63.63,0.8482,0.00,1,-0.77,0.0,0.0000,0.000,0
37.23930703,126.77321075,63.70,0.8482,0.00,1,-0.84,0.0,0.0000,0.000,0
37.23930904,126.77321200,63.69,0.8482,0.00,1,-0.89,0.0,0.0000,0.000,0
37.23931105,126.77321325,63.66,0.8482,0.00,1,-0.92,0.0,0.0000,0.000,0
37.23931307,126.77321450,63.64,0.8482,0.00,1,-0.87,0.0,0.0000,0.000,0
37.23931508,126.77321575,63.61,1.1106,0.00,1,-0.80,0.0,0.0000,0.000,0
37.23931709,126.77321701,63.60,0.8482,0.00,1,-0.76,0.0,0.0000,0.000,0
37.23931910,126.77321826,63.61,1.0340,0.00,1,-0.76,0.0,0.0000,0.000,0
37.23932111,126.77321952,63.62,0.8482,0.00,1,-0.83,0.0,0.0000,0.000,0
37.23932313,126.77322077,63.64,0.8482,0.00,1,-0.94,0.0,0.0000,0.000,0
37.23932514,126.77322202,63.65,0.8482,0.00,1,-1.03,0.0,0.0000,0.000,0
37.23932715,126.77322327,63.64,0.8482,0.00,1,-1.06,0.0,0.0000,0.000,0
37.23932916,126.77322453,63.49,0.8482,0.00,1,-0.95,0.0,0.0000,0.000,0
37.23933117,126.77322578,63.33,0.8482,0.00,1,-0.80,0.0,0.0000,0.000,0
37.23933318,126.77322706,63.16,0.8482,0.00,1,-0.67,0.0,0.0000,0.000,0
37.23933518,126.77322834,63.00,0.8482,0.00,1,-0.64,0.0,0.0000,0.000,0
37.23933718,126.77322962,62.75,0.8482,0.00,1,-0.70,0.0,0.0000,0.000,0
37.23933918,126.77323090,61.79,0.8482,0.00,1,-0.76,0.0,0.0000,0.000,0
37.23934116,126.77323223,60.79,0.8482,0.00,1,-0.80,0.0,0.0000,0.000,0
37.23934309,126.77323367,59.80,0.8482,0.00,1,-0.79,0.0,0.0000,0.000,0
37.23934501,126.77323512,59.06,0.8482,0.00,1,-0.75,0.0,0.0000,0.000,0
37.23934694,126.77323658,59.19,0.8482,0.00,1,-0.73,0.0,0.0000,0.000,0
37.23934887,126.77323803,59.58,0.8482,0.00,1,-0.70,0.0,0.0000,0.000,0
37.23935080,126.77323945,59.99,0.8482,0.00,1,-0.66,0.0,0.0000,0.000,0
37.23935276,126.77324083,60.40,0.8482,0.00,1,-0.61,0.0,0.0000,0.000,0
37.23935472,126.77324222,60.64,0.8482,0.00,1,-0.54,0.0,0.0000,0.000,0
37.23935668,126.77324360,60.82,0.8482,0.00,1,-0.54,0.0,0.0000,0.000,0
37.23935863,126.77324498,61.07,0.5929,0.00,1,-0.55,0.0,0.0000,0.000,0
37.23936060,126.77324634,61.33,0.9970,0.00,1,-0.59,0.0,0.0000,0.000,0
37.23936258,126.77324768,61.59,0.8731,0.00,1,-0.60,0.0,0.0000,0.000,0
37.23936456,126.77324901,61.72,1.1310,0.00,1,-0.62,0.0,0.0000,0.000,0
37.23936654,126.77325035,62.09,1.1310,0.00,1,-0.65,0.0,0.0000,0.000,0
37.23936851,126.77325168,62.55,1.1310,0.00,1,-0.69,0.0,0.0000,0.000,0
37.23937052,126.77325296,63.02,1.1310,0.00,1,-0.74,0.0,0.0000,0.000,0
37.23937253,126.77325421,63.47,1.1310,0.00,1,-0.75,0.0,0.0000,0.000,0
37.23937454,126.77325547,63.58,1.1310,0.00,1,-0.74,0.0,0.0000,0.000,0
37.23937655,126.77325672,63.77,1.1310,0.00,1,-0.75,0.0,0.0000,0.000,0
37.23937856,126.77325798,63.96,1.0972,0.00,1,-0.77,0.0,0.0000,0.000,0
37.23938059,126.77325920,64.15,0.8482,0.00,1,-0.77,0.0,0.0000,0.000,0
37.23938261,126.77326042,64.32,0.8482,0.00,1,-0.72,0.0,0.0000,0.000,0
37.23938463,126.77326164,64.28,1.0390,0.00,1,-0.68,0.0,0.0000,0.000,0
37.23938666,126.77326287,64.08,0.8896,0.00,1,-0.63,0.0,0.0000,0.000,0
37.23938868,126.77326410,63.87,0.8482,0.00,1,-0.59,0.0,0.0000,0.000,0
37.23939069,126.77326536,63.66,0.8482,0.00,1,-0.61,0.0,0.0000,0.000,0
37.23939270,126.77326661,63.49,0.8482,0.00,1,-0.65,0.0,0.0000,0.000,0
37.23939471,126.77326787,63.24,0.5655,0.00,1,-0.63,0.0,0.0000,0.000,0
37.23939672,126.77326913,62.69,0.3547,0.00,1,-0.56,0.0,0.0000,0.000,0
37.23939871,126.77327044,62.11,0.1384,0.00,1,-0.28,0.0,0.0000,0.000,0
37.23940068,126.77327179,61.55,0.2827,0.00,1,-0.24,0.0,0.0000,0.000,0
37.23940265,126.77327315,61.22,0.5655,0.00,1,-0.35,0.0,0.0000,0.000,0
37.23940462,126.77327451,61.18,0.5655,0.00,1,-0.44,0.0,0.0000,0.000,0
37.23940658,126.77327587,61.14,0.8755,0.00,1,-0.58,0.0,0.0000,0.000,0
37.23940855,126.77327723,61.10,1.1310,0.00,1,-0.75,0.0,0.0000,0.000,0
37.23941052,126.77327860,61.06,1.1310,0.00,1,-0.94,0.0,0.0000,0.000,0
37.23941248,126.77327996,61.04,1.1310,0.00,1,-1.10,0.0,0.0000,0.000,0
37.23941445,126.77328133,60.91,1.1310,0.00,1,-1.20,0.0,0.0000,0.000,0
37.23941641,126.77328269,60.74,1.1310,0.00,1,-1.24,0.0,0.0000,0.000,0
37.23941836,126.77328408,60.57,1.1310,0.00,1,-1.21,0.0,0.0000,0.000,0
37.23942032,126.77328548,60.42,1.1310,0.00,1,-1.18,0.0,0.0000,0.000,0
37.23942227,126.77328687,60.48,1.1310,0.00,1,-1.17,0.0,0.0000,0.000,0
37.23942422,126.77328827,61.73,1.0785,0.00,1,-1.20,0.0,0.0000,0.000,0
37.23942618,126.77328964,63.06,0.7232,0.00,1,-1.24,0.0,0.0000,0.000,0
37.23942822,126.77329082,64.39,0.8167,0.00,1,-1.35,0.0,0.0000,0.000,0
37.23943027,126.77329198,65.61,0.9481,0.00,1,-1.45,0.0,0.0000,0.000,0
37.23943232,126.77329314,65.62,0.8991,0.00,1,-1.59,0.0,0.0000,0.000,0
37.23943436,126.77329430,65.38,0.7420,0.00,1,-1.70,0.0,0.0000,0.000,0
37.23943640,126.77329547,65.13,0.8139,0.00,1,-1.73,0.0,0.0000,0.000,0
37.23943844,126.77329668,64.89,0.8482,0.00,1,-1.63,0.0,0.0000,0.000,0
37.23944047,126.77329788,64.70,0.8482,0.00,1,-1.48,0.0,0.0000,0.000,0
37.23944250,126.77329909,64.57,0.8482,0.00,1,-1.38,0.0,0.0000,0.000,0
37.23944453,126.77330030,64.30,0.8482,0.00,1,-1.37,0.0,0.0000,0.000,0
37.23944655,126.77330152,64.03,0.8482,0.00,1,-1.38,0.0,0.0000,0.000,0
37.23944856,126.77330278,63.77,0.8482,0.00,1,-1.39,0.0,0.0000,0.000,0
37.23945057,126.77330403,63.61,1.1241,0.00,1,-1.40,0.0,0.0000,0.000,0
37.23945258,126.77330528,63.49,0.8482,0.00,1,-1.40,0.0,0.0000,0.000,0
37.23945459,126.77330654,63.33,1.0082,0.00,1,-1.38,0.0,0.0000,0.000,0
37.23945660,126.77330781,63.16,1.1310,0.00,1,-1.33,0.0,0.0000,0.000,0
37.23945860,126.77330910,63.00,1.1310,0.00,1,-1.25,0.0,0.0000,0.000,0
37.23946060,126.77331038,62.92,0.8482,0.00,1,-1.19,0.0,0.0000,0.000,0
37.23946260,126.77331166,62.73,0.9346,0.00,1,-1.09,0.0,0.0000,0.000,0
37.23946460,126.77331295,62.48,0.9856,0.00,1,-1.00,0.0,0.0000,0.000,0
37.23946658,126.77331427,62.24,0.8482,0.00,1,-0.92,0.0,0.0000,0.000,0
37.23946857,126.77331559,62.01,0.8482,0.00,1,-0.82,0.0,0.0000,0.000,0
37.23947055,126.77331692,61.94,0.9039,0.00,1,-0.79,0.0,0.0000,0.000,0
37.23947253,126.77331824,61.81,1.1310,0.00,1,-0.74,0.0,0.0000,0.000,0
37.23947451,126.77331957,61.67,0.9489,0.00,1,-0.65,0.0,0.0000,0.000,0
37.23947648,126.77332092,61.53,0.8482,0.00,1,-0.58,0.0,0.0000,0.000,0
37.23947845,126.77332227,61.41,1.1304,0.00,1,-0.52,0.0,0.0000,0.000,0
37.23948043,126.77332362,61.49,1.1310,0.00,1,-0.48,0.0,0.0000,0.000,0
37.23948240,126.77332497,61.83,1.1310,0.00,1,-0.49,0.0,0.0000,0.000,0
37.23948438,126.77332631,62.19,1.1310,0.00,1,-0.53,0.0,0.0000,0.000,0
37.23948637,126.77332760,62.54,1.1310,0.00,1,-0.64,0.0,0.0000,0.000,0
37.23948837,126.77332889,62.81,1.1310,0.00,1,-0.74,0.0,0.0000,0.000,0
37.23949037,126.77333018,62.93,1.0455,0.00,1,-0.89,0.0,0.0000,0.000,0
37.23949237,126.77333146,63.14,0.9276,0.00,1,-0.99,0.0,0.0000,0.000,0
37.23949437,126.77333273,63.36,1.0427,0.00,1,-1.02,0.0,0.0000,0.000,0
37.23949638,126.77333399,63.58,0.9848,0.00,1,-0.97,0.0,0.0000,0.000,0
37.23949840,126.77333524,63.71,0.9088,0.00,1,-0.87,0.0,0.0000,0.000,0
37.23950041,126.77333648,63.80,0.7519,0.00,1,-0.72,0.0,0.0000,0.000,0
37.23950243,126.77333773,63.94,0.5655,0.00,1,-0.57,0.0,0.0000,0.000,0
37.23950445,126.77333897,64.09,0.7984,0.00,1,-0.38,0.0,0.0000,0.000,0
37.23950647,126.77334019,64.22,0.8077,0.00,1,-0.39,0.0,0.0000,0.000,0
37.23950849,126.77334142,64.23,0.8482,0.00,1,-0.51,0.0,0.0000,0.000,0
37.23951052,126.77334264,63.40,0.8482,0.00,1,-0.55,0.0,0.0000,0.000,0
37.23951253,126.77334387,62.34,0.8482,0.00,1,-0.55,0.0,0.0000,0.000,0
37.23951450,126.77334524,61.28,0.8482,0.00,1,-0.52,0.0,0.0000,0.000,0
37.23951644,126.77334665,60.27,1.0367,0.00,1,-0.51,0.0,0.0000,0.000,0
37.23951839,126.77334806,60.03,0.9064,0.00,1,-0.53,0.0,0.0000,0.000,0
37.23952033,126.77334947,59.79,1.0973,0.00,1,-0.57,0.0,0.0000,0.000,0
37.23952228,126.77335088,59.56,0.8613,0.00,1,-0.63,0.0,0.0000,0.000,0
37.23952421,126.77335233,59.32,1.1248,0.00,1,-0.68,0.0,0.0000,0.000,0
37.23952613,126.77335378,59.13,0.8762,0.00,1,-0.74,0.0,0.0000,0.000,0
37.23952806,126.77335522,59.58,1.0728,0.00,1,-0.76,0.0,0.0000,0.000,0
37.23952999,126.77335667,61.24,0.9535,0.00,1,-0.74,0.0,0.0000,0.000,0
37.23953195,126.77335804,62.98,0.7638,0.00,1,-0.65,0.0,0.0000,0.000,0
37.23953400,126.77335920,64.69,1.0989,0.00,1,-0.52,0.0,0.0000,0.000,0
37.23953605,126.77336034,65.95,0.8482,0.00,1,-0.38,0.0,0.0000,0.000,0
37.23953810,126.77336149,65.83,1.1280,0.00,1,-0.45,0.0,0.0000,0.000,0
37.23954015,126.77336263,65.39,0.8482,0.00,1,-0.67,0.0,0.0000,0.000,0
37.23954219,126.77336382,64.94,0.9925,0.00,1,-0.88,0.0,0.0000,0.000,0
37.23954421,126.77336504,64.49,1.1310,0.00,1,-1.08,0.0,0.0000,0.000,0
37.23954624,126.77336627,64.21,1.1310,0.00,1,-1.14,0.0,0.0000,0.000,0
37.23954826,126.77336749,63.75,1.1310,0.00,1,-1.11,0.0,0.0000,0.000,0
37.23955028,126.77336872,63.05,0.8691,0.00,1,-1.11,0.0,0.0000,0.000,0
37.23955227,126.77337003,62.33,1.1299,0.00,1,-1.13,0.0,0.0000,0.000,0
37.23955424,126.77337138,61.63,0.8482,0.00,1,-1.15,0.0,0.0000,0.000,0
37.23955621,126.77337273,61.37,1.0174,0.00,1,-1.06,0.0,0.0000,0.000,0
37.23955818,126.77337408,61.61,0.8482,0.00,1,-1.00,0.0,0.0000,0.000,0
37.23956016,126.77337543,61.92,0.8482,0.00,1,-0.98,0.0,0.0000,0.000,0
37.23956214,126.77337674,62.23,0.8482,0.00,1,-1.12,0.0,0.0000,0.000,0
37.23956414,126.77337804,62.53,0.8482,0.00,1,-1.35,0.0,0.0000,0.000,0
