latitude,longitude,heading,speed,steer,direction,pitch,terrain,lane_cte,lane_conf,lane_flags
37.23893544,126.77296145,73.38,0.0000,0.00,-1,0.22,0.0,0.0000,0.000,0
37.23893558,126.77296150,62.60,0.0000,0.00,-1,0.20,0.0,0.0000,0.000,0
37.23893568,126.77296154,62.04,0.0000,0.00,1,0.19,0.0,0.0000,0.000,0
37.23893765,126.77296289,61.57,0.5303,0.00,1,0.11,0.0,0.0000,0.000,0
37.23893962,126.77296424,61.41,0.3750,0.00,1,0.03,0.0,0.0000,0.000,0
37.23894160,126.77296559,61.28,0.3726,0.00,1,-0.06,0.0,0.0000,0.000,0
37.23894348,126.77296688,61.54,0.0000,0.00,1,0.09,0.0,0.0000,0.000,0
37.23894339,126.77296684,61.56,-0.2827,0.00,-1,0.12,0.0,0.0000,0.000,0
37.23894334,126.77296677,61.13,0.0000,0.00,-1,0.10,0.0,0.0000,0.000,0
37.23894336,126.77296679,61.26,0.2827,0.00,1,0.10,0.0,0.0000,0.000,0
37.23894532,126.77296816,60.97,0.5655,0.00,1,-0.02,0.0,0.0000,0.000,0
37.23894729,126.77296952,61.00,0.8482,0.00,1,-0.08,0.0,0.0000,0.000,0
37.23894925,126.77297089,60.89,0.8798,0.00,1,-0.12,0.0,0.0000,0.000,0
37.23895122,126.77297226,60.47,1.1310,0.00,1,-0.16,0.0,0.0000,0.000,0
37.23895317,126.77297365,60.03,1.1310,0.00,1,-0.18,0.0,0.0000,0.000,0
37.23895510,126.77297509,59.60,1.1310,0.00,1,-0.20,0.0,0.0000,0.000,0
37.23895703,126.77297653,59.25,1.1310,0.00,1,-0.17,0.0,0.0000,0.000,0
37.23895896,126.77297797,59.10,1.1310,0.00,1,-0.14,0.0,0.0000,0.000,0
37.23896089,126.77297941,58.79,1.3919,0.00,1,-0.14,0.0,0.0000,0.000,0
37.23896281,126.77298088,58.47,1.1394,0.00,1,-0.13,0.0,0.0000,0.000,0
37.23896472,126.77298237,58.16,1.1310,0.00,1,-0.12,0.0,0.0000,0.000,0
37.23896662,126.77298387,57.99,1.1310,0.00,1,-0.10,0.0,0.0000,0.000,0
37.23896852,126.77298537,58.32,1.1310,0.00,1,-0.08,0.0,0.0000,0.000,0
37.23897043,126.77298686,58.88,1.0848,0.00,1,-0.04,0.0,0.0000,0.000,0
37.23897236,126.77298830,59.46,0.8482,0.00,1,0.03,0.0,0.0000,0.000,0
37.23897431,126.77298970,60.02,0.8482,0.00,1,0.08,0.0,0.0000,0.000,0
37.23897626,126.77299110,60.35,0.8482,0.00,1,0.13,0.0,0.0000,0.000,0
37.23897821,126.77299250,61.78,0.8482,0.00,1,0.16,0.0,0.0000,0.000,0
37.23898017,126.77299388,63.58,0.8482,0.00,1,0.16,0.0,0.0000,0.000,0
37.23898221,126.77299503,65.41,0.8482,0.00,1,0.17,0.0,0.0000,0.000,0
37.23898429,126.77299611,67.14,0.6502,0.00,1,0.22,0.0,0.0000,0.000,0
37.23898636,126.77299719,67.49,0.8482,0.00,1,0.28,0.0,0.0000,0.000,0
37.23898844,126.77299826,66.80,0.6286,0.00,1,0.28,0.0,0.0000,0.000,0
37.23899051,126.77299935,66.05,0.8482,0.00,1,0.24,0.0,0.0000,0.000,0
37.23899254,126.77300055,65.30,1.1278,0.00,1,0.21,0.0,0.0000,0.000,0
37.23899457,126.77300177,64.60,0.9092,0.00,1,0.25,0.0,0.0000,0.000,0
37.23899660,126.77300298,64.49,1.0214,0.00,1,0.33,0.0,0.0000,0.000,0
37.23899863,126.77300419,64.23,0.9921,0.00,1,0.41,0.0,0.0000,0.000,0
37.23900065,126.77300541,63.97,1.1310,0.00,1,0.49,0.0,0.0000,0.000,0
37.23900266,126.77300667,63.71,1.1310,0.00,1,0.53,0.0,0.0000,0.000,0
37.23900467,126.77300793,63.51,1.1310,0.00,1,0.49,0.0,0.0000,0.000,0
37.23900668,126.77300919,63.55,1.1310,0.00,1,0.42,0.0,0.0000,0.000,0
37.23900869,126.77301045,63.65,1.1310,0.00,1,0.32,0.0,0.0000,0.000,0
37.23901070,126.77301170,63.75,1.3633,0.00,1,0.22,0.0,0.0000,0.000,0
37.23901272,126.77301294,63.85,1.1767,0.00,1,0.12,0.0,0.0000,0.000,0
37.23901474,126.77301418,63.91,1.1310,0.00,1,0.09,0.0,0.0000,0.000,0
