latitude,longitude,heading,speed,steer,direction,pitch,terrain,throttle_pulse,wheel_pulse,wheel_speed,steer_measured,throttle_raw,auto_mode,estop
36.96763210,127.87248385,65.87,0.038,-2,1,0.00,0,0,0.0,0.000,-2,173,0,0
36.96763091,127.87248731,-3.30,0.585,-3,1,0.00,0,4,0.5,0.221,-3,334,0,0
36.96763044,127.87249024,-10.64,0.782,-3,1,0.00,0,4,0.5,0.221,-3,338,0,0
36.96762995,127.87249393,-10.01,0.860,-2,1,0.00,0,5,0.5,0.221,-2,386,0,0
36.96762927,127.87249825,-8.39,0.932,-3,1,0.00,0,4,0.5,0.221,-3,347,0,0
36.96762849,127.87250318,-9.44,1.199,-2,1,0.00,0,4,0.5,0.221,-2,350,0,0
36.96762767,127.87250861,-10.92,1.218,-2,1,0.00,0,5,1.0,0.442,-2,403,0,0
36.96762717,127.87251143,-12.35,1.182,-3,1,0.00,0,4,1.0,0.442,-3,354,0,0
36.96762661,127.87251440,-13.39,1.480,-4,1,0.00,0,4,0.5,0.221,-4,354,0,0
36.96762611,127.87251742,-11.62,1.373,-3,1,0.00,0,4,1.0,0.442,-3,356,0,0
36.96762540,127.87252058,-15.68,1.426,-3,1,0.00,0,4,1.0,0.442,-3,357,0,0
36.96762470,127.87252384,-15.04,1.534,-3,1,0.00,0,4,1.0,0.442,-3,358,0,0
36.96762396,127.87252707,-16.02,1.415,-3,1,0.00,0,4,1.0,0.442,-3,357,0,0
36.96762339,127.87253049,-11.74,1.655,-3,1,0.00,0,4,1.0,0.442,-3,361,0,0
36.96762275,127.87253386,-13.39,1.518,-3,1,0.00,0,6,1.0,0.442,-3,410,0,0
36.96762214,127.87253738,-12.25,1.591,-3,1,0.00,0,4,1.0,0.442,-3,361,0,0
36.96762161,127.87254102,-10.39,1.656,-3,1,0.00,0,5,1.0,0.442,-3,364,0,0
36.96762104,127.87254482,-10.66,1.630,-3,1,0.00,0,5,1.0,0.442,-3,366,0,0
36.96762036,127.87254863,-12.60,1.826,-3,1,0.00,0,5,1.0,0.442,-3,366,0,0
36.96761978,127.87255257,-10.37,1.783,-3,1,0.00,0,5,1.0,0.442,-3,368,0,0
36.96761906,127.87255661,-12.57,1.757,-3,1,0.00,0,5,1.0,0.442,-3,366,0,0
36.96761849,127.87256101,-9.14,2.111,-3,1,0.00,0,4,1.0,0.442,-3,361,0,0
36.96761785,127.87256537,-10.50,1.857,-3,1,0.00,0,4,1.0,0.442,-3,351,0,0
36.96761712,127.87256980,-11.60,2.131,-3,1,0.00,0,5,1.0,0.442,-3,367,0,0
36.96761646,127.87257421,-10.62,2.034,-3,1,0.00,0,4,1.0,0.442,-3,352,0,0
36.96761571,127.87257865,-11.95,2.013,-3,1,0.00,0,4,1.0,0.442,-3,352,0,0
36.96761496,127.87258332,-11.39,2.139,-3,1,0.00,0,4,1.0,0.442,-3,351,0,0
36.96761436,127.87258794,-9.18,1.940,-3,1,0.00,0,4,1.0,0.442,-3,350,0,0
36.96761369,127.87259258,-10.26,2.196,-4,1,0.00,0,4,1.0,0.442,-4,347,0,0
36.96761293,127.87259723,-11.54,2.175,-4,1,0.00,0,6,1.0,0.442,-4,435,0,0
36.96761225,127.87260183,-10.48,2.052,-4,1,0.00,0,3,1.5,0.663,-4,292,0,0
36.96761168,127.87260633,-9.11,2.111,-3,1,0.00,0,3,1.0,0.442,-3,291,0,0
36.96761106,127.87261077,-9.87,1.843,-4,1,0.00,0,3,1.0,0.442,-4,288,0,0
36.96761048,127.87261517,-9.45,2.069,-4,1,0.00,0,3,1.5,0.663,-4,291,0,0
36.96760986,127.87261956,-9.91,2.050,-3,1,0.00,0,3,1.0,0.442,-3,294,0,0
36.96760936,127.87262391,-8.25,1.936,-3,1,0.00,0,3,1.0,0.442,-3,295,0,0
36.96760879,127.87262823,-9.45,1.958,-4,1,0.00,0,3,1.0,0.442,-4,293,0,0
36.96760828,127.87263259,-8.24,1.774,-3,1,0.00,0,3,1.0,0.442,-3,291,0,0
36.96760776,127.87263684,-8.79,2.030,-4,1,0.00,0,3,1.0,0.442,-4,292,0,0
36.96760725,127.87264103,-8.61,1.949,-3,1,0.00,0,3,1.0,0.442,-3,292,0,0
