t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,encoder_sum,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,drive_cmd,drive_event,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1786452532.387421,0.006,0.0,0.0,0,0,-0.01586124016881666,-0.06178231736083708,0.0,0.5,0.0,161.0,1.0,-0.6893600581240661,0.0,160.0,1.6339036130382163,8.19127064700875,-10.061552027971413,0.3948063131683995,-0.023,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,1,-2,178,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,route_20260811_205252.csv | DRIVE_START,"🚨 E-STOP — 모든 동작 중지, 메인화면 복귀 | ✅ E-stop 해제 — 처음부터 다시 | 📁 경로 선택: route_20260811_205252.csv (WP 161개) — 스위치를 자율로 올리면 출발 | ▶ 주행 시작(prompt) [route_20260811_205252.csv]",36.967624658333335,127.87372687333334,122.327,2,0.00011664000000000001,0.05064401367553892,0.2749089457689043,-0.3535726265521808,0.8926626760249661,0.0023038346126325153,-0.002495820830351891,-0.0004014257279586958,-5.1386845999999995,-0.9610517,8.325845849999999
1786452532.437428,0.056,0.0,0.0,0,0,-0.01586124016881666,-0.06178231736083708,0.0,0.5,0.0,161.0,1.0,-0.6893600581240661,0.0,160.0,1.6339036130382163,8.19127064700875,-10.061552027971413,0.3948063131683995,0.274,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,1,-2,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,36.967624658333335,127.87372687333334,122.327,2,0.00011664000000000001,0.05064832606379328,0.2749247425179006,-0.3535620535715461,0.8926617541334864,-0.001186823891356144,0.002495820830351891,0.004782202150464463,-5.16810455,-1.0787315,8.306232549999999
1786452532.487394,0.106,0.0,0.0,0,0,-0.018084779136300962,-0.06122572025630391,0.0,0.5,0.0,161.0,1.0,-0.6916490921680725,0.0,160.0,1.6339036130382163,8.190518728310327,-10.061552027971413,0.3948063131683995,0.415,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,1,-2,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,36.96762466333333,127.87372684833333,122.328,2,0.00011664000000000001,0.050663419509998864,0.2749352528854194,-0.353540699181001,0.8926661182474628,-0.00486946861306418,0.0029146998508305304,0.007243116395776467,-5.1779112,-1.0198915999999998,8.2768126
1786452532.537417,0.156,0.0,0.0,0,0,-0.018084779136300962,-0.06122572025630391,0.0,0.5,0.0,161.0,1.0,-0.6916490921680725,0.0,160.0,1.6339036130382163,8.190518728310327,-10.061552027971413,0.3948063131683995,-0.046,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,1,-2,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,36.96762466333333,127.87372684833333,122.328,2,0.00011664000000000001,0.05069301268553912,0.2749580341411721,-0.3535189620068483,0.8926660301746038,-0.0012915436464758037,0.006108652381980153,-0.0008028514559173916,-5.1386845999999995,-0.97085835,8.24739265
1786452532.587413,0.206,0.0,0.0,0,0,-0.018084779136300962,-0.06122572025630391,0.0,0.5,0.0,161.0,1.0,-0.6916490921680725,0.0,160.0,1.6339036130382163,8.190518728310327,-10.061552027971413,0.3948063131683995,-0.112,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,1,-2,178,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,36.96762466333333,127.87372684833333,122.328,2,0.00011664000000000001,0.050730279986444686,0.2749147337642607,-0.35351655967940476,0.8926782006323782,-5.235987755982989e-05,-0.0026354471705114374,-0.001954768762233649,-5.1779112,-1.10815145,8.2768126
1786452532.637408,0.256,0.0,0.0,0,0,-0.018084779136300962,-0.06122572025630391,0.0,0.5,0.0,161.0,1.0,-0.6916490921680725,0.0,160.0,1.6339036130382163,8.190518728310327,-10.061552027971413,0.3948063131683995,0.23,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,2,-2,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,36.96762466333333,127.87372684833333,122.328,2,0.00011664000000000001,0.050751126210886566,0.2749324826761566,-0.3535016060039283,0.8926774712685959,0.000593411945678072,-0.0035779249665883754,0.004014257279586958,-5.1190713,-0.9414384,8.28661925
1786452532.687405,0.306,0.0,0.0,0,0,-0.019418902011217428,-0.05881379815170592,0.0,0.5,0.0,161.0,1.0,-0.6934248340373944,0.0,160.0,1.6339036130382163,8.187998051577633,-10.061552027971413,0.3948063131683995,-0.022,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,1,-2,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,36.967624685,127.87372683333334,122.332,2,0.00011664000000000001,0.05074537233272666,0.27492524776406724,-0.3534952064449619,0.8926825607958929,-0.004642575810304917,0.010314895879286487,-0.0003839724354387525,-5.14849125,-1.0591182,8.227779349999999
1786452532.737408,0.356,0.0,0.0,0,0,-0.019418902011217428,-0.05881379815170592,0.0,0.5,0.0,161.0,1.0,-0.6934248340373944,0.0,160.0,1.6339036130382163,8.187998051577633,-10.061552027971413,0.3948063131683995,0.308,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,1,-2,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,36.967624685,127.87372683333334,122.332,2,0.00011664000000000001,0.0507355460421255,0.27493865240121756,-0.3534968074730438,0.8926783569068848,-0.0009773843811168245,0.0038222710618675817,0.005375614096142535,-5.14849125,-0.980665,8.34545915
1786452532.787415,0.406,0.0,0.0,0,0,-0.019418902011217428,-0.05881379815170592,0.0,0.5,0.0,161.0,1.0,-0.6934248340373944,0.0,160.0,1.6339036130382163,8.187998051577633,-10.061552027971413,0.3948063131683995,-0.205,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,1,-2,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,36.967624685,127.87372683333334,122.332,2,0.00011664000000000001,0.05071984053730132,0.274971382427088,-0.35347764658996156,0.8926767555970241,-3.490658503988659e-05,0.00022689280275926284,-0.0035779249665883754,-5.2171378,-1.08853815,8.2964259
1786452532.837411,0.456,0.0,0.0,0,0,-0.019418902011217428,-0.05881379815170592,0.0,0.5,0.0,161.0,1.0,-0.6934248340373944,0.0,160.0,1.6339036130382163,8.187998051577633,-10.061552027971413,0.3948063131683995,0.24300000000000002,0.0,-7.998040295067572,1.0849386295491774,0.0035505178408719498,1.0560769014282114,1,-2,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,36.967624685,127.87372683333334,122.332,2,0.00011664000000000001,0.050704385658243326,0.2749509916000842,-0.3534872100882323,0.8926801273676861,0.0006108652381980154,-0.0028797932657906437,0.004241150082346221,-5.12887795,-1.0395048999999998,8.306232549999999
