latitude,longitude,heading,speed,steer,direction,pitch,terrain,throttle_pulse,wheel_pulse,wheel_speed,steer_measured,throttle_raw,auto_mode,estop
36.96762059,127.87373444,-21.67,0.008,-2,1,0.00,0,0,0.5,0.221,-2,181,0,0
36.96762000,127.87373834,-16.66,0.579,-3,1,0.00,0,4,0.5,0.221,-3,362,0,0
36.96761946,127.87374169,-13.28,0.855,-2,1,0.00,0,5,1.0,0.442,-2,365,0,0
36.96761877,127.87374564,-13.48,0.950,-2,1,0.00,0,5,1.0,0.442,-2,365,0,0
36.96761789,127.87375060,-10.70,1.299,-2,1,0.00,0,4,1.0,0.442,-2,361,0,0
36.96761699,127.87375614,-13.05,1.358,-2,1,0.00,0,4,1.0,0.442,-2,341,0,0
36.96761645,127.87375899,-13.37,1.291,-2,1,0.00,0,5,1.0,0.442,-2,394,0,0
36.96761589,127.87376192,-13.59,1.273,-2,1,0.00,0,4,1.0,0.442,-2,325,0,0
36.96761534,127.87376501,-12.52,1.542,-2,1,0.00,0,2,1.0,0.442,-2,279,0,0
36.96761477,127.87376813,-12.78,1.345,-2,1,0.00,0,2,2.0,0.884,-2,276,0,0
36.96761417,127.87377109,-14.37,1.388,-2,1,0.00,0,2,1.0,0.442,-2,276,0,0
36.96761360,127.87377397,-13.94,1.333,-2,1,0.00,0,3,1.5,0.663,-2,286,0,0
36.96761312,127.87377681,-11.73,1.190,-2,1,0.00,0,3,1.0,0.442,-2,294,0,0
36.96761194,127.87378221,-15.87,1.221,-2,1,0.00,0,3,1.5,0.663,-2,303,0,0
36.96761140,127.87378498,-13.58,1.295,-2,1,0.00,0,3,0.5,0.221,-2,303,0,0
36.96761035,127.87379046,-13.92,1.283,-2,1,0.00,0,3,1.0,0.442,-2,301,0,0
36.96760921,127.87379582,-12.75,1.212,-2,1,0.00,0,3,1.5,0.663,-2,303,0,0
36.96760798,127.87380117,-16.06,1.261,-2,1,0.00,0,3,1.5,0.663,-2,311,0,0
36.96760693,127.87380651,-12.54,1.315,-2,1,0.00,0,3,1.5,0.663,-2,311,0,0
36.96760635,127.87380927,-14.77,1.253,-2,1,0.00,0,3,0.5,0.221,-2,303,0,0
36.96760519,127.87381448,-15.08,1.257,-2,1,0.00,0,3,1.0,0.442,-2,320,0,0
36.96760459,127.87381722,-15.24,1.166,-2,1,0.00,0,3,1.0,0.442,-2,321,0,0
36.96760346,127.87382234,-13.47,1.180,-2,1,0.00,0,4,1.0,0.442,-2,339,0,0
36.96760230,127.87382735,-16.26,1.177,-3,1,0.00,0,3,1.5,0.663,-3,306,0,0
36.96760128,127.87383241,-15.29,1.271,-3,1,0.00,0,3,1.0,0.442,-3,321,0,0
36.96760006,127.87383743,-16.76,1.291,-4,1,0.00,0,3,1.0,0.442,-4,319,0,0
36.96759897,127.87384244,-15.17,1.062,-4,1,0.00,0,3,1.0,0.442,-4,317,0,0
36.96759798,127.87384754,-11.94,1.137,-5,1,0.00,0,4,1.0,0.442,-5,324,0,0
36.96759671,127.87385273,-19.10,1.310,-5,1,0.00,0,4,1.5,0.663,-5,326,0,0
36.96759549,127.87385825,-16.98,1.379,-4,1,0.00,0,3,1.0,0.442,-4,322,0,0
36.96759492,127.87386114,-13.75,1.337,-4,1,0.00,0,3,1.0,0.442,-4,315,0,0
36.96759439,127.87386401,-13.05,1.278,-4,1,0.00,0,3,1.0,0.442,-4,315,0,0
36.96759377,127.87386679,-15.54,1.314,-4,1,0.00,0,3,1.0,0.442,-4,316,0,0
36.96759268,127.87387235,-12.90,1.351,-4,1,0.00,0,3,1.0,0.442,-4,321,0,0
36.96759144,127.87387774,-16.09,1.300,-5,1,0.00,0,3,1.0,0.442,-5,321,0,0
36.96759096,127.87388056,-12.02,1.293,-5,1,0.00,0,4,1.0,0.442,-5,326,0,0
36.96758985,127.87388597,-14.29,1.403,-5,1,0.00,0,3,1.0,0.442,-5,319,0,0
36.96758929,127.87388871,-14.40,1.196,-5,1,0.00,0,3,1.0,0.442,-5,315,0,0
36.96758839,127.87389403,-12.78,1.181,-8,1,0.00,0,3,0.5,0.221,-8,315,0,0
36.96758793,127.87389685,-11.49,1.221,-13,1,0.00,0,3,1.0,0.442,-13,317,0,0
36.96758743,127.87389970,-12.39,1.349,-20,1,0.00,0,3,0.5,0.221,-20,316,0,0
36.96758705,127.87390248,-9.67,1.189,-25,1,0.00,0,3,1.0,0.442,-25,320,0,0
36.96758666,127.87390791,-6.83,1.244,-31,1,0.00,0,5,1.5,0.663,-31,365,0,0
36.96758686,127.87391344,4.55,1.223,-38,1,0.00,0,4,1.0,0.442,-38,324,0,0
36.96758735,127.87391890,7.33,1.312,-40,1,0.00,0,4,1.0,0.442,-40,347,0,0
36.96758775,127.87392168,10.26,1.240,-40,1,0.00,0,4,1.0,0.442,-40,324,0,0
36.96758866,127.87392429,23.59,1.192,-40,1,0.00,0,4,1.5,0.663,-40,324,0,0
36.96759067,127.87392915,27.12,1.241,-40,1,0.00,0,4,1.5,0.663,-40,327,0,0
36.96759319,127.87393364,37.48,1.290,-40,1,0.00,0,5,1.0,0.442,-40,394,0,0
36.96759489,127.87393562,46.95,1.119,-40,1,0.00,0,4,1.5,0.663,-40,326,0,0
36.96759835,127.87393916,52.71,1.173,-40,1,0.00,0,4,1.0,0.442,-40,330,0,0
36.96760041,127.87394060,60.91,1.352,-40,1,0.00,0,4,1.5,0.663,-40,342,0,0
36.96760251,127.87394178,65.74,1.269,-40,1,0.00,0,4,1.0,0.442,-40,326,0,0
36.96760473,127.87394263,73.07,1.261,-40,1,0.00,0,4,1.0,0.442,-40,327,0,0
36.96760700,127.87394320,78.73,1.394,-40,1,0.00,0,4,1.5,0.663,-40,331,0,0
36.96760935,127.87394351,83.87,1.281,-40,1,0.00,0,5,1.0,0.442,-40,387,0,0
36.96761174,127.87394354,89.43,1.426,-40,1,0.00,0,4,1.0,0.442,-40,347,0,0
36.96761408,127.87394326,95.54,1.257,-40,1,0.00,0,4,1.5,0.663,-40,336,0,0
