latitude,longitude,heading,speed,steer,direction,pitch,terrain,throttle_pulse,wheel_pulse,wheel_speed,steer_measured,throttle_raw,auto_mode,estop
36.96759285,127.87395089,22.21,1.133,-23,1,0.00,0,3,1.5,0.663,-23,321,0,0
36.96759366,127.87395351,21.12,1.166,-23,1,0.00,0,4,1.5,0.663,-23,325,0,0
36.96759584,127.87395836,29.92,1.188,-24,1,0.00,0,3,1.5,0.663,-24,321,0,0
36.96759696,127.87396087,29.21,1.342,-25,1,0.00,0,3,1.0,0.442,-25,318,0,0
36.96759928,127.87396558,33.25,1.152,-24,1,0.00,0,3,1.5,0.663,-24,317,0,0
36.96760194,127.87396993,36.62,1.180,-27,1,0.00,0,4,1.0,0.442,-27,339,0,0
36.96760481,127.87397417,43.17,1.229,-27,1,0.00,0,3,1.0,0.442,-27,316,0,0
36.96760788,127.87397780,44.59,1.201,-27,1,0.00,0,3,1.5,0.663,-27,318,0,0
36.96761110,127.87398120,51.20,1.170,-27,1,0.00,0,3,1.0,0.442,-27,314,0,0
36.96761457,127.87398442,54.41,1.121,-27,1,0.00,0,3,1.5,0.663,-27,316,0,0
36.96761836,127.87398711,59.45,1.144,-28,1,0.00,0,3,1.5,0.663,-28,316,0,0
36.96762228,127.87398939,68.61,1.268,-29,1,0.00,0,3,1.5,0.663,-29,316,0,0
36.96762626,127.87399131,73.03,1.291,-30,1,0.00,0,3,1.5,0.663,-30,317,0,0
36.96763028,127.87399290,75.88,1.211,-33,1,0.00,0,3,1.5,0.663,-33,318,0,0
36.96763452,127.87399377,82.17,1.164,-33,1,0.00,0,3,2.0,0.884,-33,316,0,0
36.96763693,127.87399401,85.36,1.474,-33,1,0.00,0,3,1.0,0.442,-33,314,0,0
36.96764128,127.87399405,92.30,1.394,-35,1,0.00,0,3,1.5,0.663,-35,315,0,0
36.96764540,127.87399387,93.31,1.116,-35,1,0.00,0,3,2.0,0.884,-35,320,0,0
36.96764953,127.87399267,105.40,1.172,-35,1,0.00,0,3,1.5,0.663,-35,317,0,0
36.96765343,127.87399129,108.36,1.163,-35,1,0.00,0,4,1.5,0.663,-35,330,0,0
36.96765742,127.87398920,112.27,1.262,-35,1,0.00,0,4,1.5,0.663,-35,330,0,0
36.96766134,127.87398664,117.15,1.213,-35,1,0.00,0,6,1.5,0.663,-35,416,0,0
36.96766472,127.87398351,128.15,1.148,-35,1,0.00,0,3,1.5,0.663,-35,314,0,0
36.96766793,127.87398007,132.19,1.103,-35,1,0.00,0,3,1.5,0.663,-35,314,0,0
36.96766951,127.87397805,135.70,1.243,-35,1,0.00,0,3,2.0,0.884,-35,314,0,0
36.96767231,127.87397391,140.60,1.197,-35,1,0.00,0,3,1.0,0.442,-35,315,0,0
36.96767453,127.87396957,148.02,1.101,-35,1,0.00,0,3,1.5,0.663,-35,318,0,0
36.96767656,127.87396492,153.26,1.248,-35,1,0.00,0,3,1.5,0.663,-35,319,0,0
36.96767816,127.87396016,160.28,1.224,-35,1,0.00,0,3,2.0,0.884,-35,317,0,0
36.96767947,127.87395507,162.52,1.210,-35,1,0.00,0,3,1.0,0.442,-35,320,0,0
36.96768020,127.87394989,168.53,1.139,-34,1,0.00,0,4,1.5,0.663,-34,328,0,0
36.96768067,127.87394447,173.43,1.199,-32,1,0.00,0,3,1.0,0.442,-32,319,0,0
36.96768061,127.87393891,-177.65,1.244,-24,1,0.00,0,3,1.0,0.442,-24,317,0,0
36.96768054,127.87393610,-178.09,1.169,-20,1,0.00,0,4,1.5,0.663,-20,323,0,0
36.96768044,127.87393042,179.59,1.247,-14,1,0.00,0,4,1.0,0.442,-14,338,0,0
36.96768018,127.87392759,-173.54,1.290,-11,1,0.00,0,3,1.5,0.663,-11,320,0,0
